model,feature,importance
lasso,diff_skill_science,0.06770288585021146
lasso,diff_activity_lv_establishing_and_maintaining_interpersonal_relationships,0.05484239111282459
lasso,diff_activity_im_assisting_and_caring_for_others,0.047684950536620765
lasso,diff_knowledge_computers_and_electronics,0.04549505567007965
lasso,diff_skill_installation,0.044791679245003165
lasso,diff_ability_written_expression,0.043242283867382166
lasso,diff_knowledge_fine_arts,0.04148217817405321
lasso,diff_skill_social_perceptiveness,0.03980705864069845
lasso,diff_activity_im_thinking_creatively,0.03674380230386792
lasso,diff_skill_management_of_personnel_resources,0.033420399257519245
lasso,diff_activity_im_training_and_teaching_others,0.03329435150793599
lasso,diff_activity_im_developing_and_building_teams,0.03055189561835201
lasso,diff_ability_selective_attention,0.029671787998738108
lasso,diff_ability_glare_sensitivity,0.02823053022768765
lasso,diff_activity_im_inspecting_equipment_structures_or_materials,0.027299755727559414
lasso,diff_ability_oral_expression,0.026512114443189592
lasso,diff_skill_learning_strategies,0.026124100881267112
lasso,diff_activity_im_processing_information,0.026050225029826027
lasso,diff_skill_operations_monitoring,0.02551205361155716
lasso,diff_knowledge_customer_and_personal_service,0.02521399866948375
random_forest,diff_skill_operations_analysis,0.04164453796171535
random_forest,diff_skill_science,0.04077784025755785
random_forest,diff_ability_far_vision,0.03702316894549433
random_forest,diff_skill_troubleshooting,0.02482254758817344
random_forest,diff_ability_visualization,0.02174307908304302
random_forest,diff_skill_writing,0.02159208533398996
random_forest,diff_skill_learning_strategies,0.02078779685054082
random_forest,diff_skill_quality_control_analysis,0.018894385739170586
random_forest,diff_skill_management_of_personnel_resources,0.018059107262953636
random_forest,diff_ability_depth_perception,0.01598488434523847
random_forest,diff_skill_critical_thinking,0.015708134743647895
random_forest,diff_skill_negotiation,0.015013468655685102
random_forest,diff_activity_lv_repairing_and_maintaining_mechanical_equipment,0.013312244203708886
random_forest,diff_activity_lv_assisting_and_caring_for_others,0.013153968793564704
random_forest,diff_ability_information_ordering,0.01278278784562338
random_forest,diff_skill_time_management,0.01198049549398748
random_forest,diff_ability_written_expression,0.011557172705131548
random_forest,diff_skill_service_orientation,0.011174216208822115
random_forest,diff_skill_systems_analysis,0.01093611950288931
random_forest,diff_ability_glare_sensitivity,0.010009797525875816
xgboost,diff_ability_gross_body_coordination,0.029053710401058197
xgboost,diff_activity_im_developing_objectives_and_strategies,0.02824922651052475
xgboost,diff_ability_selective_attention,0.02112388238310814
xgboost,diff_activity_lv_interpreting_the_meaning_of_information_for_others,0.016408607363700867
xgboost,diff_activity_im_communicating_with_people_outside_the_organization,0.015341578051447868
xgboost,diff_activity_im_selling_or_influencing_others,0.014598042704164982
xgboost,diff_activity_im_resolving_conflicts_and_negotiating_with_others,0.014590160921216011
xgboost,diff_ability_flexibility_of_closure,0.013676849193871021
xgboost,diff_ability_dynamic_strength,0.0135345458984375
xgboost,diff_ability_category_flexibility,0.013263589702546597
xgboost,diff_activity_im_making_decisions_and_solving_problems,0.013242127373814583
xgboost,diff_activity_im_organizing_planning_and_prioritizing_work,0.012996583245694637
xgboost,diff_activity_lv_identifying_objects_actions_and_events,0.01226294506341219
xgboost,diff_skill_time_management,0.012185980565845966
xgboost,diff_knowledge_english_language,0.010804824531078339
xgboost,diff_activity_lv_analyzing_data_or_information,0.010389968752861023
xgboost,diff_ability_speed_of_closure,0.010064766742289066
xgboost,diff_ability_information_ordering,0.009769427590072155
xgboost,diff_knowledge_public_safety_and_security,0.009712060913443565
xgboost,diff_activity_im_communicating_with_supervisors_peers_or_subordinates,0.009346126578748226
