skill_distance,estimator,r2_no_geo,r2_with_geo,delta_r2
euclidean,OLS_log,0.07364789428632601,0.089790862002851,0.016142967716524986
euclidean,PPML,0.2356671792863596,0.3819566169810564,0.14628943769469677
angular_separation,OLS_log,0.07080856564240678,0.0867118727550714,0.01590330711266462
angular_separation,PPML,0.2138532152065462,0.3630974702754561,0.14924425506890987
factor_analysis,OLS_log,0.08402635668166714,0.0988536401082181,0.014827283426550958
factor_analysis,PPML,0.27798487998958343,0.4213377611563316,0.14335288116674816
ml_lasso,OLS_log,0.09894288558106257,0.1089465359469469,0.01000365036588434
ml_lasso,PPML,0.37963119006925006,0.4776400266739491,0.09800883660469906
ml_random_forest,OLS_log,0.1868521602761426,0.1960632626919921,0.009211102415849493
ml_random_forest,PPML,0.2961329417796915,0.4307797534944344,0.1346468117147429
ml_xgboost,OLS_log,0.17993243343764875,0.1920778880357594,0.012145454598110644
ml_xgboost,PPML,0.22777278457039207,0.3705352872038487,0.14276250263345663
