specification,skill_distance,estimator,R2,beta1_skill_dist,se_beta1,p_beta1,n_obs
baseline,euclidean,OLS_log,0.08979086200285102,-0.018214959041922774,0.0003874311311152488,0.0,275100
baseline,euclidean,PPML,0.38195661698105643,-0.5549195454058584,0.031107919445829267,3.549121513463429e-71,275100
baseline,angular_separation,OLS_log,0.08671187275507142,-0.08043073210473098,0.0017926127706834297,0.0,275100
baseline,angular_separation,PPML,0.36309747027545614,-2.5436495235913132,0.16473023439532639,8.633775360972059e-54,275100
baseline,factor_analysis,OLS_log,0.09885364010821818,-0.04171159743424031,0.0007119973251743883,0.0,275100
baseline,factor_analysis,PPML,0.4213377611563316,-0.9676552535576406,0.027076683440001543,1.0314896029903902e-279,275100
baseline,ml_lasso,OLS_log,0.10894653594694692,0.2186166524430868,0.0030956924502293483,0.0,275100
baseline,ml_lasso,PPML,0.4776400266739491,5.559420964605588,0.11480799100465594,0.0,275100
baseline,ml_random_forest,OLS_log,0.19606326269199215,0.3075876882989158,0.01016156999797901,2.8724607965522644e-201,275100
baseline,ml_random_forest,PPML,0.4307797534944344,0.43705955283510045,0.02036963197386694,3.977050761200419e-102,275100
baseline,ml_xgboost,OLS_log,0.19207788803575943,0.10626442277938111,0.013392137005146909,2.107721378836117e-15,275100
baseline,ml_xgboost,PPML,0.37053528720384876,0.032126855857924505,0.0032194646937268576,1.884629774562443e-23,275100
fixed_delta1,euclidean,OLS_log,0.27639281237944735,0.017494981169821552,0.00126822994381409,2.7390326261351488e-43,275100
fixed_delta1,euclidean,PPML,0.2115020989280597,-0.5606936308537425,0.03319044382165047,5.046752021626299e-64,275100
no_small_occ_100,euclidean,OLS_log,0.09428133911413772,-0.02248415452863633,0.0005224246365040263,0.0,196692
no_small_occ_100,euclidean,PPML,0.35141840280863024,-0.5475523307353803,0.03193676165178483,6.862620701611774e-66,196692
no_small_occ_500,euclidean,OLS_log,0.12289375888666187,-0.04818693792368378,0.0015645895670743633,2.748471111903352e-208,53592
no_small_occ_500,euclidean,PPML,0.27671360320333105,-0.5482577667123728,0.0420551701727525,7.572933819671629e-39,53592
two_part_logit,euclidean,Logit,0.20528551959964814,-0.3981111866596522,0.009408500796572978,0.0,275100
two_part_positive,euclidean,OLS_log_positive,0.08334158729822239,-0.09132406378728605,0.00500306466129003,1.9362608408711724e-74,13756
fixed_delta1,factor_analysis,OLS_log,0.27626352342334615,-0.025093780445950647,0.002168933468941937,5.8728244454499705e-31,275100
fixed_delta1,factor_analysis,PPML,0.2652821566155543,-0.9791337628346846,0.027336685996754585,5.883275344536958e-281,275100
no_small_occ_100,factor_analysis,OLS_log,0.10591478703041257,-0.05387586421905167,0.0009842058130585835,0.0,196692
no_small_occ_100,factor_analysis,PPML,0.39377534207477227,-0.9633618517345706,0.027966894216867873,5.079026758592807e-260,196692
no_small_occ_500,factor_analysis,OLS_log,0.14531689585637964,-0.11671520066887481,0.0028651226771542015,0.0,53592
no_small_occ_500,factor_analysis,PPML,0.33160934727838076,-0.9677220388620347,0.03615660419080462,8.319284875591976e-158,53592
two_part_logit,factor_analysis,Logit,0.22204649251952535,-0.7368615515528403,0.011113387251354093,0.0,275100
two_part_positive,factor_analysis,OLS_log_positive,0.12674141646320902,-0.24288763626268922,0.0076540876689774945,5.438819566294231e-221,13756
year_fe,euclidean,OLS_log,0.038287118600531356,-0.005141202385397604,7.239565213771864e-05,0.0,1650600
year_fe,euclidean,PPML,0.3290694110717064,-0.5546732581909368,0.01420226506451274,0.0,1650600
year_fe,angular_separation,OLS_log,0.036963060989228524,-0.02243238042574834,0.0003295143537834603,0.0,1650600
year_fe,angular_separation,PPML,0.31297092736186327,-2.542861813102159,0.07630264509448355,1.6226685091149487e-243,1650600
year_fe,factor_analysis,OLS_log,0.042608276829409264,-0.012233852557637813,0.00013596958351661691,0.0,1650600
year_fe,factor_analysis,PPML,0.36279453381316107,-0.9674895904097216,0.012441929354932595,0.0,1650600
year_fe,ml_lasso,OLS_log,0.04662640191477074,0.06305380006789466,0.0005944947648706092,0.0,1650600
year_fe,ml_lasso,PPML,0.4108526509837901,5.554133034922547,0.05340305177829998,0.0,1650600
year_fe,ml_random_forest,OLS_log,0.11869502914540686,0.11584910846973916,0.0021195482351511917,0.0,1650600
year_fe,ml_random_forest,PPML,0.3708769542833248,0.4370746710056882,0.008339367845720477,0.0,1650600
year_fe,ml_xgboost,OLS_log,0.1825579764538523,0.053953024036349696,0.002345923624996483,4.811026528238889e-117,1650600
year_fe,ml_xgboost,PPML,0.31922320261590476,0.032039090131263326,0.0013568569723233725,2.8525694167993176e-123,1650600
